title,author(s),retail_price,discounted/sale_price,isbn10,book_type,number_of_pages,input_isbn
Operation Mincemeat,Ben Macintyre,18.39,15.99,1408808544,ePUB,432.0,9781408808542
Rogue,Karen Lynch,6.84,6.84,1310976325,ePUB,,9781310976322
The Prosperity Bible,Napoleon Hill,25.7,20.99,1101097639,ePUB,1280.0,9781101097632
Deep Sea and Foreign Going,Rose George,24.99,21.75,1846272998,Paperback,320.0,9781846272998
Because of Mr. Terupt,Rob Buyea,13.19,10.99,0375896155,ePUB,,9780375896156
The Scarpetta Factor,Patricia Cornwell,11.99,11.99,0748113118,ePUB,512.0,9780748113118
Crap CVs,Jenny Crompton,14.99,14.99,1405920459,ePUB,240.0,9781405920452
Everything I Know About Love,Dolly Alderton,16.99,16.99,024198209X,ePUB,304.0,9780241982099
The Spirit Level,Kate Pickett|Richard Wilkinson,16.99,16.99,0141921153,ePUB,400.0,9780141921150
Steal Like an Artist,Austin Kleon,26.99,22.95,0761169253,Paperback,160.0,9780761169253
The Better Angels of Our Nature,Steven Pinker,18.99,18.99,0141959746,ePUB,1056.0,9780141959740
Call The Midwife,Jennifer Worth,11.99,11.99,0297859668,ePUB,368.0,9780297859666
Fire Ice,Clive Cussler|Paul Kemprecos,14.99,14.99,1405909560,ePUB,560.0,9781405909563
The Hunter,Tom Wood,11.99,11.99,0748122850,ePUB,400.0,9780748122851
Notes on a Scandal,Zoë Heller,15.99,15.99,0141901918,ePUB,256.0,9780141901916
Cider With Rosie,Laurie Lee Mbe Mbe,14.99,14.99,1407073362,ePUB,240.0,9781407073361
Santaland Diaries,David Sedaris,12.99,12.99,0748123075,ePUB,160.0,9780748123070
Your Blue-Eyed Boy,Helen Dunmore,15.99,15.99,0141917326,ePUB,256.0,9780141917320
Small Island,Andrea Levy,12.99,12.99,0755359712,ePUB,422.0,9780755359714
Waiting for Wednesday,Nicci French,15.99,15.99,0141964030,ePUB,384.0,9780141964034
The Man in the High Castle,Philip K. Dick,15.99,15.99,0241964261,ePUB,272.0,9780241964262
Splinter the Silence,Val McDermid,16.99,16.99,075156141X,ePUB,400.0,9780751561418
With the Old Breed,Eugene B Sledge,18.99,18.99,1409003078,ePUB,352.0,9781409003076
AI Superpowers,Kai-Fu Lee,13.99,13.99,1328545865,ePUB,,9781328545862
The Hero of Ages,Brandon Sanderson,11.99,11.99,0575097760,ePUB,768.0,9780575097766
